Order ID,Order Timestamp,Customer Name,Product ID,Quantity,Cost,Discount,Final Price
86780a98-3a71-4f9e-95da-16fd4a68998f,2025-02-21 18:19:08,Charles Davis,8932528809570,6,789.9,10.15,4678.5
55eef366-bc76-4752-8dcb-e8184dfa6a17,2025-02-21 16:28:45,Gregory Gardner DDS,2475107991182,4,809.03,161.96,2588.28
0378bcb7-7570-40ac-9d42-10d540e7ca76,2025-02-21 12:50:19,Gene Holmes,6179640537734,9,157.46,27.37,1170.81
e6f467b9-dd79-42fc-9b61-7a80a9f7c6d1,2025-02-21 21:41:25,Mr. Joseph Bowman,4786863375245,2,46.51,1.98,89.06
db3437bb-690a-498b-ba87-fba525dccca2,2025-02-21 08:01:09,Brenda Jimenez,7790104328980,1,476.51,131.23,345.28
b22058f9-bdb2-4d9e-93dc-8eea3e8ee36a,2025-02-21 15:40:55,Patrick Lee,5328710122696,4,704.28,27.58,2706.8
1ba168b8-a384-4e2b-a0b6-1367f46eb787,2025-02-21 09:58:23,Meghan Nolan,3561595148463,1,905.62,222.98,682.64
e0479ecb-f553-4cd3-bcc1-c48c730350ca,2025-02-21 19:11:02,Thomas Bailey,1080132677362,8,615.11,154.15,3687.68
6ad3cc40-96d2-4487-a41a-4b7454c93d44,2025-02-21 10:03:28,Andrew Meyer,391171822783,2,123.04,21.96,202.16
1f7a63af-9cc4-4ca3-958c-449e57e0d57b,2025-02-21 15:46:54,Lacey Sparks,2816850542359,4,72.48,4.41,272.28
f82f2dc3-1c35-430b-89d5-245358d4d949,2025-02-21 00:18:12,Mr. John Hernandez DVM,490278742960,7,330.99,96.9,1638.63
29a099de-aa10-4595-8ee2-51809fb109a3,2025-02-21 11:03:19,Mr. Edward Chavez,5231243292128,9,145.96,36.63,983.97
97d38ab9-d352-4a91-8873-d25237a2a180,2025-02-21 04:29:38,Eric Jordan,3584168784998,4,766.59,136.4,2520.76
0cc66163-002a-4e3d-9588-3c8fa9065c79,2025-02-21 09:09:15,Shawn Glover,9471746488772,2,129.54,5.49,248.1
c4d5ac13-f561-4900-aa52-cdf38082a0ee,2025-02-21 20:24:58,Brandon Nelson,6409097439535,3,699.33,116.1,1749.69
6e9ae156-325c-4a4e-bba9-5ec4fef43c9c,2025-02-21 21:18:26,Donna Johnson,4965137098596,4,926.42,11.31,3660.44
cfcc2abd-3fac-4bcc-9ac9-2db2eed4d005,2025-02-21 23:11:38,James Strong,1080132677362,10,382.37,18.1,3642.7
4d515b58-eb91-47bc-82e1-feb9e49dda44,2025-02-21 21:44:15,Justin Shelton,5304637454997,8,89.92,0.19,717.84
23a10fdd-9402-47be-8deb-dd3c528e0ae8,2025-02-21 07:15:49,Jason Gonzalez,4786863375245,2,709.67,126.41,1166.52
9110f698-4c1e-472a-95e9-bee44e143977,2025-02-21 22:52:35,Clifford Patton,7770143634952,7,696.57,165.56,3717.0699999999997
237befd1-1896-4a6e-afd8-3533d57758f5,2025-02-21 19:10:18,Erik Donovan,3529042284218,3,214.1,41.1,519.0
5aac72b1-77e7-4d81-9b88-fc72b66cdb02,2025-02-21 15:34:15,Tyrone Murray,4519832731588,8,417.91,117.61,2402.4
f51e2df3-06c3-498e-8f14-aac7e99d6b91,2025-02-21 15:19:30,Charles Meadows,2816850542359,1,600.31,129.16,471.15
831ffc00-9490-429d-be1e-0693c960b851,2025-02-21 13:35:04,Joshua Cunningham,2816850542359,2,630.92,148.12,965.6
d858f464-c15d-4547-8db4-897a4b188a0d,2025-02-21 14:17:46,Michael Ford,7468071545166,7,14.52,1.03,94.43
75d106f2-849c-40c6-9ffa-28aec353ac87,2025-02-21 01:58:43,Devin Andersen,2475107991182,9,977.02,181.41,7160.49
18ef2501-9826-455f-955f-2bf41b678ec1,2025-02-21 10:34:46,Melissa Lin,672400499151,9,512.47,71.37,3969.9
aca65492-95a9-4dd7-bd8f-a26f1f16de17,2025-02-21 18:35:54,Amy Harris,7383473597745,4,283.66,16.49,1068.68
f79f8fa9-bd8c-4f4f-8fe2-75b124e72383,2025-02-21 18:02:00,Steven Bowman,3584168784998,3,688.39,200.03,1465.08
4f968a84-a0d4-4d24-8d07-4581279f5df0,2025-02-21 00:14:05,Loretta Gonzalez,3529042284218,8,184.56,37.1,1179.68
9a920655-272c-4482-8002-572a113038f5,2025-02-21 04:24:24,Danielle Garcia,5328710122696,1,648.41,55.45,592.96
719deadd-817c-4779-952d-8f91064fe164,2025-02-21 14:13:31,Bryan Sullivan,2474517123688,5,340.95,82.36,1292.9499999999998
3c243b45-d1fd-4711-af1d-80eafb91fb90,2025-02-21 19:54:19,Lonnie Gonzales,9690784473643,8,52.88,11.75,329.04
6eaebb60-1f89-4ec2-9dfe-19d2a87d2106,2025-02-21 05:19:28,Cathy Cardenas,4786863375245,9,184.13,43.39,1266.66
82f2a59e-2bb7-4146-bd9d-542aa84fa67f,2025-02-21 19:54:14,John Roberts,8470076617716,9,124.9,33.54,822.24
7e32e5d0-96b9-4974-b587-03c5199ae3da,2025-02-21 13:22:27,Jeanne Wolfe,4739473121726,8,596.78,58.36,4307.36
d0411dec-6ab9-4a0f-b6c6-533e1b7a5c94,2025-02-21 15:28:03,Drew Wilson,1769367632017,6,237.76,7.86,1379.4
4d81c859-949e-44ad-82d2-2ee763b1a52e,2025-02-21 01:14:27,Stephanie Harvey,8937346706568,2,244.75,30.29,428.92
5acf614a-e834-4b5b-a879-c9a60ae9eacc,2025-02-21 05:04:18,Nathan Hill,1769367632017,7,892.45,19.69,6109.32
8029d633-5b95-49d0-a887-4d02fb5435ba,2025-02-21 18:19:16,Steven Warren,5271774490587,8,63.8,8.34,443.68
a7ea52f0-2cab-43d7-9011-6af48356ed61,2025-02-21 05:30:44,Nathan Morgan,8734714345585,10,460.44,53.5,4069.4
23d99d90-c964-4746-9bd1-65a3b716307d,2025-02-21 10:08:02,Mary Mclean,8740164005245,8,722.62,137.01,4684.88
a5278097-d6de-4902-aa89-7692117637b2,2025-02-21 17:36:45,John Hopkins,7262849877691,4,342.53,3.3,1356.92
81c974a0-ed6a-439f-b560-4484937749f6,2025-02-21 23:59:24,Beverly Nguyen,1613696816450,1,287.8,9.59,278.21
95a15905-591c-44b6-94aa-600af487a21f,2025-02-21 22:28:53,Andrea Johnson,3171390053291,8,424.04,96.72,2618.56
18b6dfc7-3b50-494f-a8bf-ffddbb9ddc31,2025-02-21 03:52:02,Mr. Franklin Hall DDS,6658760366900,5,607.6,143.92,2318.4
3c92f1ab-cbac-43c6-bb8e-c1cbead217d1,2025-02-21 03:50:19,Carrie Stafford,758181412470,10,906.52,157.22,7493.0
ec20d201-6b88-4cd0-b92b-7b46c17d049c,2025-02-21 02:20:37,David Johnson,2445107622683,4,95.61,24.58,284.12
c36b0890-7108-422a-92a8-5ff7bffbbc83,2025-02-21 13:37:43,Sara Mclean,8470076617716,4,595.67,149.57,1784.4
73131038-b2df-4075-9b8f-abe952377d88,2025-02-21 13:44:56,Mark Hawkins,9650752735456,1,732.72,161.82,570.9
7000f93b-7db8-4d71-80a3-823b321a9240,2025-02-21 10:24:58,Patrick Hamilton,6417080531005,4,334.02,58.07,1103.8
313a4c74-ca3d-4769-8f05-2461874db4a6,2025-02-21 03:07:54,Lori Barnett,9187851910885,10,946.79,259.54,6872.5
23fbe8f2-cf5c-4d7f-8882-5d14341b2c09,2025-02-21 00:11:26,Jason Payne,9187851910885,1,423.59,5.62,417.97
aeaf3951-2f70-4b32-9738-db52126c4e50,2025-02-21 23:22:58,Cheryl Clark,3529042284218,9,43.28,6.9,327.42
5a239f52-8037-4969-b946-8eaed3dc00ee,2025-02-21 12:58:45,Kristin Taylor,9502402681173,2,457.92,33.04,849.76
a01ed90e-6d71-48e9-b05a-501c11310c8b,2025-02-21 13:41:38,Laura Martinez,607159696643,1,696.23,84.93,611.3
1e307f10-19d5-4f42-8c58-9a8e846a4a71,2025-02-21 18:09:27,Kyle Rivera,8734714345585,3,364.82,26.16,1015.98
4a36a7c0-f0cc-4f56-9242-89ea39597465,2025-02-21 09:09:09,Hunter Brennan,1065133387267,1,484.99,44.35,440.64
132497ee-49be-43dd-b7d6-5f6a2869b5ee,2025-02-21 19:27:27,Sarah Frederick,2029702135566,8,859.34,192.65,5333.52
9e5f8378-6633-427e-8fee-ea91800314a8,2025-02-21 02:03:44,Stephanie Aguilar,7525534192838,8,469.12,19.51,3596.88
43577225-fc24-4159-aada-2885efda70bf,2025-02-21 23:47:00,George Green,2029702135566,7,193.1,50.49,998.2700000000001
0f344fe1-c3c5-4bb5-a355-ce1655a47eab,2025-02-21 05:04:16,Robert Rivera,7383473597745,8,706.86,0.29,5652.56
e0d65081-e98d-45f7-a9d0-6567c1e158aa,2025-02-21 02:16:09,Benjamin Gould,7383473597745,2,391.03,81.03,620.0
